time2	OAPM10	OAPM2.5	OAPM1
2021-02-05 오전 10:34:09	35.3	26.3	23
2021-02-05 오전 10:35:09	38.4	26.3	23.2
2021-02-05 오전 10:36:09	38.7	26.3	23.4
2021-02-05 오전 10:37:09	36.3	25.6	23.1
2021-02-05 오전 10:38:08	36.3	25.9	22.8
2021-02-05 오전 10:39:08	37.7	24.6	22.7
2021-02-05 오전 10:40:08	39.2	25.4	22.7
2021-02-05 오전 10:41:09	36.6	25.5	22.8
2021-02-05 오전 10:42:09	33.8	24.8	22.4
2021-02-05 오전 10:43:09	31.7	25	22.6
2021-02-05 오전 10:44:08	31.7	24.7	22.3
2021-02-05 오전 10:45:08	35.1	26.3	22.8
2021-02-05 오전 10:46:09	36.7	25.3	22.4
2021-02-05 오전 10:47:08	35.1	25.2	22.6
2021-02-05 오전 10:48:08	39.9	25.2	22.5
2021-02-05 오전 10:49:08	35.8	26	22.4
2021-02-05 오전 10:50:08	34.3	24.6	22.3
2021-02-05 오전 10:51:09	33.6	24.7	22
2021-02-05 오전 10:52:08	34.1	24.9	22.7
2021-02-05 오전 10:53:08	37	25.4	22.3
2021-02-05 오전 10:54:08	36.4	24.6	22.1
2021-02-05 오전 10:55:08	32.8	24.3	21.8
2021-02-05 오전 10:56:08	31.8	24.5	21.6
2021-02-05 오전 10:57:08	33	24.1	21.9
2021-02-05 오전 10:58:08	33.9	24	21.4
2021-02-05 오전 10:59:08	34.2	24.3	21.3
2021-02-05 오전 11:00:08	32.6	24	21.5
2021-02-05 오전 11:01:08	33.9	24.3	21.5
2021-02-05 오전 11:02:08	32.1	23.6	21.5
2021-02-05 오전 11:03:08	33.9	23.7	21.3
2021-02-05 오전 11:04:08	33.8	24	21.5
2021-02-05 오전 11:05:08	31.5	23.7	21.6
2021-02-05 오전 11:06:08	32.2	24.2	21.5
2021-02-05 오전 11:07:08	31.5	24.4	21.8
2021-02-05 오전 11:08:08	31.6	24.2	21.7
2021-02-05 오전 11:09:08	35.2	24.2	21.9
2021-02-05 오전 11:10:08	36.2	25.1	22.2
2021-02-05 오전 11:11:08	35	24.4	21.9
2021-02-05 오전 11:12:08	35.3	24.9	22.1
2021-02-05 오전 11:13:08	32.6	24.8	22.2
2021-02-05 오전 11:14:08	33.1	24.3	22.1
2021-02-05 오전 11:15:08	34.1	25.3	22.2
2021-02-05 오전 11:16:08	35.2	24.8	22.7
2021-02-05 오전 11:17:08	38.4	25.1	22.4
2021-02-05 오전 11:18:08	37.4	26.6	23.3
2021-02-05 오전 11:19:08	34.8	26	23.1
2021-02-05 오전 11:20:08	35.7	26.4	23.3
2021-02-05 오전 11:21:08	37.4	27.1	23.2
2021-02-05 오전 11:22:08	36.7	25.7	23
2021-02-05 오전 11:23:08	35.5	25.9	23.2
2021-02-05 오전 11:24:08	35.8	25.8	23
2021-02-05 오전 11:25:08	34.2	25.9	23.3
2021-02-05 오전 11:26:08	36.2	25.3	22.6
2021-02-05 오전 11:27:08	37.8	25.7	23.1
2021-02-05 오전 11:28:08	38.3	26.7	23.2
2021-02-05 오전 11:29:08	36.9	25.4	22.7
2021-02-05 오전 11:30:08	36.5	25.3	22.5
2021-02-05 오전 11:31:08	34.8	25.9	22.9
2021-02-05 오전 11:32:08	38.2	25.8	23
2021-02-05 오전 11:33:08	37.2	25.5	23
2021-02-05 오전 11:34:08	35.5	25.7	22.5
2021-02-05 오전 11:35:08	38.7	25.5	22.5
2021-02-05 오전 11:36:08	36.5	25.6	22.2
2021-02-05 오전 11:37:08	41.7	25.1	22.7
2021-02-05 오전 11:38:08	36.9	24.8	22.2
2021-02-05 오전 11:39:08	33.2	24.7	22.3
2021-02-05 오전 11:40:08	37.8	25.3	22.4
2021-02-05 오전 11:41:08	39	24.9	22.2
2021-02-05 오전 11:42:08	33.8	24.9	22.2
2021-02-05 오전 11:43:08	36.6	25	22.2
2021-02-05 오전 11:44:08	38.7	24.7	22.2
2021-02-05 오전 11:45:08	34.8	25.3	22.1
2021-02-05 오전 11:46:08	38.1	26	22.3
2021-02-05 오전 11:47:08	37.3	25.4	22.1
2021-02-05 오전 11:48:08	40.4	25.8	22.2
2021-02-05 오전 11:49:08	39.8	25.7	22.2
2021-02-05 오전 11:50:08	33.1	24.4	22
2021-02-05 오전 11:51:08	34.4	24	21.8
2021-02-05 오전 11:52:08	37.5	25.5	22
2021-02-05 오전 11:53:08	42	24.8	21.7
2021-02-05 오전 11:54:08	36	24.4	21.8
2021-02-05 오전 11:55:08	36.8	24.9	21.7
2021-02-05 오전 11:56:08	38.6	24.4	21.4
2021-02-05 오전 11:57:08	35.8	24.3	21.4
2021-02-05 오전 11:58:08	35	25.1	21.6
2021-02-05 오전 11:59:08	35.7	23.8	21.1
2021-02-05 오후 12:00:08	35.7	24.9	21.3
2021-02-05 오후 12:01:08	37.1	24.5	21.2
2021-02-05 오후 12:02:08	33.8	24.4	21.4
2021-02-05 오후 12:03:08	36.5	24.3	21.1
2021-02-05 오후 12:04:08	35.8	23.9	21
2021-02-05 오후 12:05:08	37.1	24.3	21
2021-02-05 오후 12:06:08	37	24.2	21.2
2021-02-05 오후 12:07:08	36.7	24.2	20.9
2021-02-05 오후 12:08:08	36.4	24.4	21
2021-02-05 오후 12:09:08	33.5	23.6	20.9
2021-02-05 오후 12:10:08	34.2	23.2	20.5
2021-02-05 오후 12:11:08	32.4	23.2	20.4
2021-02-05 오후 12:12:08	36.9	23.5	20.7
2021-02-05 오후 12:13:08	35.3	23.6	20.9
2021-02-05 오후 12:14:08	33.4	23.7	20.9
2021-02-05 오후 12:15:08	35.9	23.7	21.1
2021-02-05 오후 12:16:08	36.2	23.6	20.9
2021-02-05 오후 12:17:08	34.6	24.3	21
2021-02-05 오후 12:18:08	34.7	24.9	21.5
2021-02-05 오후 12:19:08	31.8	24	21
2021-02-05 오후 12:20:08	35.7	23.9	21.3
2021-02-05 오후 12:21:08	36.2	24.6	21.3
2021-02-05 오후 12:22:08	36.7	24.7	21.2
2021-02-05 오후 12:23:08	38.2	24.7	21.1
2021-02-05 오후 12:24:08	35.2	24.4	21.1
2021-02-05 오후 12:25:08	35.1	24	20.8
2021-02-05 오후 12:26:08	36.8	24.5	21.3
2021-02-05 오후 12:27:08	39.5	25.5	21.8
2021-02-05 오후 12:28:08	37.4	25	21.7
2021-02-05 오후 12:29:08	36.3	24.9	21.7
2021-02-05 오후 12:30:08	37.5	24	21.5
2021-02-05 오후 12:31:08	36.2	25.3	22
2021-02-05 오후 12:32:08	35.3	24.8	21.4
2021-02-05 오후 12:33:08	35.1	24.2	21.5
2021-02-05 오후 12:34:08	34.6	24.9	21.3
2021-02-05 오후 12:35:08	39.1	24.8	21.7
2021-02-05 오후 12:36:08	37.7	24.7	21.7
2021-02-05 오후 12:37:08	33.9	24.2	21.3
2021-02-05 오후 12:38:08	32.3	24.7	21.3
2021-02-05 오후 12:39:08	39.5	25.1	22.1
2021-02-05 오후 12:40:08	34.2	24	21.5
2021-02-05 오후 12:41:08	32.1	24.5	21.7
2021-02-05 오후 12:42:08	42.1	24.9	21.8
2021-02-05 오후 12:43:08	35.7	24.7	22.1
2021-02-05 오후 12:44:08	36.2	25.1	22.1
2021-02-05 오후 12:45:08	36.2	25.1	22.1
2021-02-05 오후 12:46:08	34	24.6	21.6
2021-02-05 오후 12:47:08	40.2	25.7	22.1
2021-02-05 오후 12:48:08	34.5	25.5	22.4
2021-02-05 오후 12:49:08	37.4	25	22.1
2021-02-05 오후 12:50:08	39.1	25.4	22.5
2021-02-05 오후 12:51:08	38.2	24.7	21.9
2021-02-05 오후 12:52:08	39.4	26.6	22.7
2021-02-05 오후 12:53:08	39.4	25	22.5
2021-02-05 오후 12:54:08	36.5	25.7	22.4
2021-02-05 오후 12:55:08	38	26.2	22.3
2021-02-05 오후 12:56:08	35.2	25.3	22.3
2021-02-05 오후 12:57:08	34.5	25.7	22.7
2021-02-05 오후 12:58:08	37.6	26.6	22.8
2021-02-05 오후 12:59:08	37.2	26.3	22.9
2021-02-05 오후 1:00:08	36.7	26.4	23
2021-02-05 오후 1:01:08	33.7	25.4	22.8
2021-02-05 오후 1:02:08	35.1	26	22.7
2021-02-05 오후 1:03:08	38.8	26.4	22.8
2021-02-05 오후 1:04:08	37.4	26.1	22.8
2021-02-05 오후 1:05:08	36.5	26.4	22.5
2021-02-05 오후 1:06:08	35.6	26.1	23
2021-02-05 오후 1:07:08	37.9	25.3	22.5
2021-02-05 오후 1:08:08	33.4	24.8	22.5
2021-02-05 오후 1:09:08	37.8	27.2	23.1
2021-02-05 오후 1:10:08	36.2	26.2	23.1
2021-02-05 오후 1:11:08	38.4	26	23.1
2021-02-05 오후 1:12:08	35.6	26	23.2
2021-02-05 오후 1:13:08	35.3	25.8	22.8
2021-02-05 오후 1:14:08	41.2	26.6	23.1
2021-02-05 오후 1:15:08	36.7	26.3	23.5
2021-02-05 오후 1:16:08	38.5	26.7	23.4
2021-02-05 오후 1:17:08	42.3	27.1	23.6
2021-02-05 오후 1:18:08	35.1	26.4	23
2021-02-05 오후 1:19:08	39	27.3	23.5
2021-02-05 오후 1:20:08	44.2	25.9	23.4
2021-02-05 오후 1:21:08	33.7	26.5	23.2
2021-02-05 오후 1:22:08	36.6	26.6	23
2021-02-05 오후 1:23:08	40.4	26.4	23.3
2021-02-05 오후 1:24:08	37.9	26.5	23.3
2021-02-05 오후 1:25:08	38.2	26.9	23.5
2021-02-05 오후 1:26:08	37.9	27.4	23.7
2021-02-05 오후 1:27:08	37.5	26.3	23.4
2021-02-05 오후 1:28:08	38.4	26.7	23.2
2021-02-05 오후 1:29:08	38.6	26.8	23.6
2021-02-05 오후 1:30:08	39.4	26.7	24
2021-02-05 오후 1:31:08	38.6	26.7	23.8
2021-02-05 오후 1:32:08	36.9	26.9	23.8
2021-02-05 오후 1:33:08	34.2	27.1	23.6
2021-02-05 오후 1:34:08	39.9	27.6	23.7
2021-02-05 오후 1:35:08	37	27.7	24
2021-02-05 오후 1:36:08	38.4	27.8	24.2
2021-02-05 오후 1:37:08	38.5	27.5	24.1
2021-02-05 오후 1:38:08	36.7	28.4	24.5
2021-02-05 오후 1:39:08	38.6	28.1	24.5
2021-02-05 오후 1:40:08	38.1	28.1	24.5
2021-02-05 오후 1:41:08	38.6	28.3	24.8
2021-02-05 오후 1:42:08	38.1	28.3	24.8
2021-02-05 오후 1:43:08	38.2	27.8	24.8
2021-02-05 오후 1:44:08	39.7	27.5	24.5
2021-02-05 오후 1:45:08	37.5	27.9	24.4
2021-02-05 오후 1:46:08	38.1	27.5	24
2021-02-05 오후 1:47:08	44.9	27.7	24.6
2021-02-05 오후 1:48:08	39	26.2	23.3
2021-02-05 오후 1:49:08	37.8	27.1	24.4
2021-02-05 오후 1:50:08	35.3	27.6	24.2
2021-02-05 오후 1:51:08	38.4	28	24.3
2021-02-05 오후 1:52:08	38.4	27.8	24.3
2021-02-05 오후 1:53:08	36	27.8	24.2
2021-02-05 오후 1:54:08	38.9	28.9	24.8
2021-02-05 오후 1:55:08	43.5	28.8	24.7
2021-02-05 오후 1:56:08	38.8	28.5	24.4
2021-02-05 오후 1:57:08	38.6	27.5	24.5
2021-02-05 오후 1:58:08	38.4	28.2	24.6
2021-02-05 오후 1:59:08	43.5	28.1	24.5
2021-02-05 오후 2:00:08	37.9	28	24.8
2021-02-05 오후 2:01:08	40.2	27.5	24.7
2021-02-05 오후 2:02:08	41.6	28.2	24.5
2021-02-05 오후 2:03:08	36.2	27.6	24.4
2021-02-05 오후 2:04:08	41.5	27.7	24.6
2021-02-05 오후 2:05:08	39.9	29.4	25.1
2021-02-05 오후 2:06:08	39.4	27.9	24.8
2021-02-05 오후 2:07:08	40	29.1	25.1
2021-02-05 오후 2:08:08	38.5	27.9	25.1
2021-02-05 오후 2:09:08	38.6	28.1	24.8
2021-02-05 오후 2:10:08	35.8	27.9	24.6
2021-02-05 오후 2:11:08	40.7	28.3	25
2021-02-05 오후 2:12:08	37	28	24.6
2021-02-05 오후 2:13:08	41.5	28.4	24.6
2021-02-05 오후 2:14:08	44.3	28.4	25.1
2021-02-05 오후 2:15:08	44	28.8	25.4
2021-02-05 오후 2:16:08	38	29.1	25.3
2021-02-05 오후 2:17:08	38.9	29.5	26.4
2021-02-05 오후 2:18:08	42.3	29.4	26.1
2021-02-05 오후 2:19:08	41.4	29.4	26.1
2021-02-05 오후 2:20:08	43.6	30	26.7
2021-02-05 오후 2:21:08	41.6	31.1	27.2
2021-02-05 오후 2:22:08	42.6	29.8	26.4
2021-02-05 오후 2:23:08	45.5	30.1	26.5
2021-02-05 오후 2:24:08	39.7	29.4	26.1
2021-02-05 오후 2:25:08	41.4	29.5	26.3
2021-02-05 오후 2:26:08	42.4	29.9	26.5
2021-02-05 오후 2:27:08	43.1	30.5	26.4
2021-02-05 오후 2:28:08	45.5	30.8	26.9
2021-02-05 오후 2:29:08	42.3	30.3	26.8
2021-02-05 오후 2:30:08	42.4	30.1	26.4
2021-02-05 오후 2:31:08	38.1	29.1	26.3
2021-02-05 오후 2:32:08	39.9	29	25.9
2021-02-05 오후 2:33:08	38.7	28.6	25.3
2021-02-05 오후 2:34:08	38.2	27.7	25.1
2021-02-05 오후 2:35:08	41	28.3	25.7
2021-02-05 오후 2:36:08	40.7	28.8	25.5
2021-02-05 오후 2:37:08	40	28.8	25.1
2021-02-05 오후 2:38:08	43.5	29.5	25.4
2021-02-05 오후 2:39:08	36.2	29	25.1
2021-02-05 오후 2:40:08	41.4	29.4	25.4
2021-02-05 오후 2:41:08	40.9	27.8	25.1
2021-02-05 오후 2:42:08	54.1	31.8	27.1
2021-02-05 오후 2:43:08	43.5	28.9	25.3
2021-02-05 오후 2:44:08	39.7	28.3	25
2021-02-05 오후 2:45:08	38.8	28.2	24.8
2021-02-05 오후 2:46:08	38	28.2	25
2021-02-05 오후 2:47:08	35.6	27.4	24.3
2021-02-05 오후 2:48:08	37.7	29	25.1
2021-02-05 오후 2:49:08	42.3	28.7	25.3
2021-02-05 오후 2:50:08	38	28.3	25.1
2021-02-05 오후 2:51:08	37.4	27.7	24.5
2021-02-05 오후 2:52:08	39.6	28.5	24.9
2021-02-05 오후 2:53:08	41.7	27.8	24.5
2021-02-05 오후 2:54:08	36.9	27.2	24.5
2021-02-05 오후 2:55:08	42.6	28.3	24.6
2021-02-05 오후 2:56:08	42.4	28.2	24.5
2021-02-05 오후 2:57:08	38.8	28.8	24.8
2021-02-05 오후 2:58:08	41.6	26.8	24.2
2021-02-05 오후 2:59:08	40.3	26.5	24.1
2021-02-05 오후 3:00:08	39.9	28.6	24.2
2021-02-05 오후 3:01:08	40.1	27.7	24.7
2021-02-05 오후 3:02:08	39.1	26.6	24.1
2021-02-05 오후 3:03:08	34.3	25.8	22.1
2021-02-05 오후 3:04:08	35.7	25.8	22.2
2021-02-05 오후 3:05:08	34	24.6	21.6
2021-02-05 오후 3:06:08	35.9	24.5	21.3
2021-02-05 오후 3:07:08	36	25.5	21.4
2021-02-05 오후 3:08:08	35.8	23.8	20.7
2021-02-05 오후 3:09:08	37.6	24.9	21.1
2021-02-05 오후 3:10:08	31.6	23.5	20.9
2021-02-05 오후 3:11:08	32.5	23.4	20.8
2021-02-05 오후 3:12:08	33.2	23.9	20.9
2021-02-05 오후 3:13:08	32.5	23.4	20.9
2021-02-05 오후 3:14:08	33.2	24.5	21.3
2021-02-05 오후 3:15:08	39.4	25.1	22.2
2021-02-05 오후 3:16:08	36.3	25.6	22.2
2021-02-05 오후 3:17:08	34.8	24.9	21.4
2021-02-05 오후 3:18:08	37	24.5	21.7
2021-02-05 오후 3:19:08	35.5	26.1	22.7
2021-02-05 오후 3:20:08	36.6	24.4	21.7
2021-02-05 오후 3:21:08	35.5	24.2	21.2
2021-02-05 오후 3:22:08	37.5	24.8	21.3
2021-02-05 오후 3:23:08	35.3	24.5	21.4
2021-02-05 오후 3:24:08	35.8	23.9	21.1
2021-02-05 오후 3:25:08	39.9	28.1	24.1
2021-02-05 오후 3:26:08	49.1	28.2	24.6
2021-02-05 오후 3:27:08	34.2	23.9	20.9
2021-02-05 오후 3:28:08	38.9	24.8	21.6
2021-02-05 오후 3:29:08	37.1	25.1	21.2
2021-02-05 오후 3:30:08	34.4	24.1	20.5
2021-02-05 오후 3:31:08	34.9	23.8	21.1
2021-02-05 오후 3:32:08	37.2	24.7	21.1
2021-02-05 오후 3:33:08	33.3	23.8	20.8
2021-02-05 오후 3:34:08	34.2	23.3	20.5
2021-02-05 오후 3:35:08	36.1	23.4	20.7
2021-02-05 오후 3:36:08	34	24.2	21.1
