time2	OAPM10	OAPM2.5	OAPM1
2021-01-20 오전 10:19:46	44.6	30.2	27.9
2021-01-20 오전 10:20:46	46.2	31	28.2
2021-01-20 오전 10:21:46	42.2	31	28.5
2021-01-20 오전 10:22:46	45.5	30.9	28.2
2021-01-20 오전 10:23:46	41.7	29.7	27.4
2021-01-20 오전 10:24:46	48.2	31.5	28.2
2021-01-20 오전 10:25:46	41.6	30.5	28.3
2021-01-20 오전 10:26:46	43.8	30.5	28
2021-01-20 오전 10:27:46	45.1	30.3	28.1
2021-01-20 오전 10:28:46	51	30.5	28.6
2021-01-20 오전 10:29:46	44	30.6	28.4
2021-01-20 오전 10:30:46	42	31	28.6
2021-01-20 오전 10:31:46	47.6	31.4	28.4
2021-01-20 오전 10:32:46	49.1	31.2	28.4
2021-01-20 오전 10:33:46	49.2	31.2	28.5
2021-01-20 오전 10:34:45	46.3	31.7	28.5
2021-01-20 오전 10:35:46	43.2	32	28.6
2021-01-20 오전 10:36:46	44.5	31.3	28.4
2021-01-20 오전 10:37:45	44.7	31	28.5
2021-01-20 오전 10:38:46	47.1	30.6	28.7
2021-01-20 오전 10:39:46	43.8	31.5	28.9
2021-01-20 오전 10:40:45	47.6	31.4	29.2
2021-01-20 오전 10:41:46	51.4	32.4	29.2
2021-01-20 오전 10:42:46	52.1	32.3	29.1
2021-01-20 오전 10:43:45	49.7	31.9	29.6
2021-01-20 오전 10:44:45	47.9	32.5	29.5
2021-01-20 오전 10:45:45	52.9	31.8	29
2021-01-20 오전 10:46:46	50.9	31.4	29.3
2021-01-20 오전 10:47:46	51.5	31.5	28.7
2021-01-20 오전 10:48:45	50.9	31.4	28.5
2021-01-20 오전 10:49:45	42.8	31.4	29.1
2021-01-20 오전 10:50:45	49.1	31.9	29.2
2021-01-20 오전 10:51:45	53.3	31.9	29.3
2021-01-20 오전 10:52:45	48.6	31.6	29.3
2021-01-20 오전 10:53:45	54.5	31.7	29
2021-01-20 오전 10:54:45	50.9	32.1	28.8
2021-01-20 오전 10:55:45	50.2	32.1	28.6
2021-01-20 오전 10:56:45	50.1	31.1	27.7
2021-01-20 오전 10:57:45	54.6	31.4	28.1
2021-01-20 오전 10:58:45	49.9	31.3	27.8
2021-01-20 오전 10:59:45	52.3	30.2	27.3
2021-01-20 오전 11:00:45	48	30.5	27.1
2021-01-20 오전 11:01:45	46.1	28.3	25.3
2021-01-20 오전 11:02:45	46.9	27.7	24.6
2021-01-20 오전 11:03:45	51.5	27.2	23.9
2021-01-20 오전 11:04:45	40.6	26.4	23.4
2021-01-20 오전 11:05:45	40	25.6	23.2
2021-01-20 오전 11:06:45	44.2	24.6	22.8
2021-01-20 오전 11:07:45	42.8	26.3	23.2
